,Name,Northing_RD,Easting_RD,Height,Timestamp,Easting_local,Northing_local
0,27_KW_1,426812.8383057703,124403.03587056985,6.607443846587243,2026-02-24 22:00:00+00:00,2252.534435235377,5550.29214173549
1,29_KW_1,426819.49831442855,124370.27705738212,9.731681238969152,2026-02-24 22:00:00+00:00,2222.095603228118,5564.111442109612
2,30_KW_1,426819.49834388634,124370.27694584755,9.731643861572003,2026-02-24 22:00:00+00:00,2222.0955011096275,5564.111495770909
3,31_P7_0,426875.8653019131,124413.95370289506,10.700554213943965,2026-02-24 22:00:00+00:00,2277.274577858858,5609.279654383825
4,32_P7_0,426875.9130349622,124414.08006951568,7.334881764407821,2026-02-24 22:00:00+00:00,2277.408419939407,5609.297909910558
5,33_P7_0,426881.4468864396,124389.81724884492,10.728763261081731,2026-02-24 22:00:00+00:00,2254.9983616522336,5620.119058954933
6,34_P7_0,426881.4747770241,124389.6886918948,7.06508104247226,2026-02-24 22:00:00+00:00,2254.8793015681404,5620.175000625503
7,34a_P7_0,426879.64612766914,124402.99531936775,6.5643997645198,2026-02-24 22:00:00+00:00,2267.439656327685,5615.416032094222
8,35_P9_0,426963.9311357646,124434.14159342385,8.781952761054908,2026-02-24 22:00:00+00:00,2316.6509886931453,5690.597796798449
9,36_P9_0,426963.9744955921,124434.26328912354,6.498973713509977,2026-02-24 22:00:00+00:00,2316.7792999415205,5690.6128348006005
10,37_P9_0,426969.45223762526,124410.03384634679,8.92729036852612,2026-02-24 22:00:00+00:00,2294.3892221622673,5701.3718297393625
11,38_P9_0,426969.5270706888,124409.92254034472,6.292344506764578,2026-02-24 22:00:00+00:00,2294.297476779851,5701.469665307022
12,38a_P9_0,426965.61736840126,124421.81078759281,5.61373289477256,2026-02-24 22:00:00+00:00,2305.009868635518,5694.999668758381
13,39_LHN_0,427023.83820131584,124422.71292387886,10.322973223590632,2026-02-24 22:00:00+00:00,2318.912999992713,5751.543299466097
14,40_LHN_0,427018.96503926755,124446.57130865361,10.38290004093917,2026-02-24 22:00:00+00:00,2341.0766659423402,5741.456568376084
15,41_LHN_0,427018.99866251927,124446.56641585357,7.903012316804891,2026-02-24 22:00:00+00:00,2341.079418570946,5741.490434075307
16,42_LHN_0,427023.89883238904,124422.72853930287,7.787611806143512,2026-02-24 22:00:00+00:00,2318.941782721499,5751.598900932153
24,TS4,426919.1415818902,124424.61886448076,8.790207205665498,2026-02-24 22:00:00+00:00,2297.3502663688173,5649.073483191226
25,TS5,426925.0777530996,124399.03849980466,8.571529883594097,2026-02-24 22:00:00+00:00,2273.7460503962607,5660.581487966619
