,Name,Northing_RD,Easting_RD,Height,Timestamp,Easting_local,Northing_local
0,27_KW_1,426812.8396056057,124403.03528172335,6.598252275819009,2026-02-25 02:00:00+00:00,2252.534152081033,5550.293540354759
1,29_KW_1,426819.4979757469,124370.27755978172,9.738309651858222,2026-02-25 02:00:00+00:00,2222.096017133979,5564.110999625099
2,30_KW_1,426819.49803954235,124370.27745041609,9.738109816007391,2026-02-25 02:00:00+00:00,2222.095924810702,5564.111086268678
3,31_P7_0,426875.86676717404,124413.95289679061,10.691485877182469,2026-02-25 02:00:00+00:00,2277.2741199574593,5609.281262836581
4,32_P7_0,426875.91453178314,124414.07918173392,7.3258943450581935,2026-02-25 02:00:00+00:00,2277.407889490413,5609.299567394572
5,33_P7_0,426881.44694209745,124389.81717618498,10.735390159368714,2026-02-25 02:00:00+00:00,2254.998303284127,5620.119129456209
6,34_P7_0,426881.47480950016,124389.68852694011,7.071792563780773,2026-02-25 02:00:00+00:00,2254.8791480584387,5620.175069178505
7,34a_P7_0,426879.64665545995,124402.99470472765,6.564512729346755,2026-02-25 02:00:00+00:00,2267.4391753289165,5615.41668400355
8,35_P9_0,426963.93221958337,124434.1413057724,8.774137801836558,2026-02-25 02:00:00+00:00,2316.6509507787678,5690.598917498686
9,36_P9_0,426963.97572837595,124434.2626648017,6.4907409980145365,2026-02-25 02:00:00+00:00,2316.7789672115605,5690.614176003237
10,37_P9_0,426969.45240728906,124410.03388625162,8.933957600981625,2026-02-25 02:00:00+00:00,2294.389299009227,5701.371986177041
11,38_P9_0,426969.52719275415,124409.92255406299,6.299100442776559,2026-02-25 02:00:00+00:00,2294.2975174561966,5701.4697812103395
12,38a_P9_0,426965.61810928694,124421.81063397243,5.612552728840311,2026-02-25 02:00:00+00:00,2305.009884642388,5695.000425233487
13,39_LHN_0,427023.8383166519,124422.71294119253,10.329604695899702,2026-02-25 02:00:00+00:00,2318.9130426680117,5751.543408006333
14,40_LHN_0,427018.9662312426,124446.57071813397,10.374101834815791,2026-02-25 02:00:00+00:00,2341.0763570291488,5741.457862242596
15,41_LHN_0,427018.99992634536,124446.56567830409,7.89414209852533,2026-02-25 02:00:00+00:00,2341.078982426771,5741.491830862295
16,42_LHN_0,427023.89889203134,124422.72882846891,7.794387994242865,2026-02-25 02:00:00+00:00,2318.9420779015077,5751.598894377311
24,TS4,426919.14286166255,124424.61818746073,8.782069286063177,2026-02-25 02:00:00+00:00,2297.3498927873334,5649.074881980104
25,TS5,426925.0775415454,124399.03856651278,8.574529957555724,2026-02-25 02:00:00+00:00,2273.7460680897443,5660.581266851024
