,Name,Northing_RD,Easting_RD,Height,Timestamp,Easting_local,Northing_local
0,27_KW_1,426812.8378091353,124403.03617024074,6.611898004996446,2026-02-23 22:00:00+00:00,2252.534616216177,5550.291590650289
1,29_KW_1,426819.4989560113,124370.27678525934,9.735603380934036,2026-02-23 22:00:00+00:00,2222.095481521786,5564.112128306976
2,30_KW_1,426819.4989344235,124370.2768088508,9.735670107086316,2026-02-23 22:00:00+00:00,2222.095499686266,5564.112101988865
3,31_P7_0,426875.86495077517,124413.95364210315,10.704946392072111,2026-02-23 22:00:00+00:00,2277.2744400588117,5609.279325743199
4,32_P7_0,426875.91271237115,124414.07993213744,7.3394317773500175,2026-02-23 22:00:00+00:00,2277.4082138796985,5609.297626225588
5,33_P7_0,426881.44729973807,124389.81740223872,10.733102737170952,2026-02-23 22:00:00+00:00,2254.998603612678,5620.119427466052
6,34_P7_0,426881.47509572504,124389.68866231444,7.069482831818152,2026-02-23 22:00:00+00:00,2254.8793440299924,5620.175317867148
7,34a_P7_0,426879.64579562604,124402.99516814038,6.5699538209813655,2026-02-23 22:00:00+00:00,2267.439434655402,5615.4157422947455
8,35_P9_0,426963.93031752785,124434.14189535109,8.787571888887095,2026-02-23 22:00:00+00:00,2316.651099931597,5690.596931756592
9,36_P9_0,426963.9738755243,124434.26329185262,6.50444009399291,2026-02-23 22:00:00+00:00,2316.7791638938043,5690.612229835671
10,37_P9_0,426969.45273480384,124410.03397935744,8.931596713263154,2026-02-23 22:00:00+00:00,2294.3894630198597,5701.372284564598
11,38_P9_0,426969.52756204474,124409.92263218986,6.296764964403642,2026-02-23 22:00:00+00:00,2294.297676212621,5701.470123665804
12,38a_P9_0,426965.61719855893,124421.8108388823,5.618170753642457,2026-02-23 22:00:00+00:00,2305.0098806319534,5694.999491746759
13,39_LHN_0,427023.8386340055,124422.71298554282,10.327043385458998,2026-02-23 22:00:00+00:00,2318.913156885633,5751.5437073967405
14,40_LHN_0,427018.96450676373,124446.57103737474,10.387764992658678,2026-02-23 22:00:00+00:00,2341.0762824182634,5741.456110051059
15,41_LHN_0,427018.9981847177,124446.56631181866,7.907811438042048,2026-02-23 22:00:00+00:00,2341.0792102894084,5741.489991654269
16,42_LHN_0,427023.8992980086,124422.72877631476,7.792157588132068,2026-02-23 22:00:00+00:00,2318.9421178851217,5751.599301733288
24,TS4,426919.14107068715,124424.61873317094,8.795575217483854,2026-02-23 22:00:00+00:00,2297.3500240317194,5649.073014316481
25,TS5,426925.0779089884,124399.03860310001,8.572148465322336,2026-02-23 22:00:00+00:00,2273.7461859458945,5660.5816167980565
