,Name,Northing_RD,Easting_RD,Height,Timestamp,Easting_local,Northing_local
0,27_KW_1,426812.83741871297,124403.03620166307,6.605658653288145,2026-02-24 14:00:00+00:00,2252.5345595057042,5550.291203092679
1,29_KW_1,426819.4982240461,124370.27705358491,9.733765743115171,2026-02-24 14:00:00+00:00,2222.0955793088033,5564.1113548669855
2,30_KW_1,426819.498238608,124370.27698378614,9.733193321763734,2026-02-24 14:00:00+00:00,2222.0955145362973,5564.111384673705
3,31_P7_0,426875.86460980907,124413.95340731285,10.699120803492141,2026-02-24 14:00:00+00:00,2277.2741349451426,5609.279045939663
4,32_P7_0,426875.9123894685,124414.07976891258,7.333558396659507,2026-02-24 14:00:00+00:00,2277.407982558661,5609.297348018752
5,33_P7_0,426881.44669707946,124389.8174293497,10.73060752431768,2026-02-24 14:00:00+00:00,2254.9984952233826,5620.118834014993
6,34_P7_0,426881.4746037224,124389.6887230587,7.06699259849161,2026-02-24 14:00:00+00:00,2254.8792931751373,5620.174824744194
7,34a_P7_0,426879.6454845552,124402.99504794515,6.565869730626732,2026-02-24 14:00:00+00:00,2267.439247920316,5615.415465994265
8,35_P9_0,426963.93005275103,124434.14189152484,8.781810567977606,2026-02-24 14:00:00+00:00,2316.651036972389,5690.596674545514
9,36_P9_0,426963.9735811984,124434.26329107145,6.498639203416246,2026-02-24 14:00:00+00:00,2316.779097292454,5690.611943143171
10,37_P9_0,426969.45231619576,124410.03346709773,8.92772069853967,2026-02-24 14:00:00+00:00,2294.388870099931,5701.37199115586
11,38_P9_0,426969.5272328118,124409.92201650933,6.2940235709295855,2026-02-24 14:00:00+00:00,2294.2970024856895,5701.469940502287
12,38a_P9_0,426965.61696671153,124421.81092014778,5.613828881100794,2026-02-24 14:00:00+00:00,2305.0099079743595,5694.999247595807
13,39_LHN_0,427023.83818478335,124422.71292888341,10.326531750198438,2026-02-24 14:00:00+00:00,2318.9130011721627,5751.543282233059
14,40_LHN_0,427018.964052023,124446.57107678901,10.382249484166715,2026-02-24 14:00:00+00:00,2341.0762191093468,5741.455658017228
15,41_LHN_0,427018.99772181205,124446.56634470561,7.902588607980916,2026-02-24 14:00:00+00:00,2341.0791387921013,5741.489533122532
16,42_LHN_0,427023.8984543502,124422.7295983898,7.789899963629125,2026-02-24 14:00:00+00:00,2318.9427304033334,5751.598295558204
24,TS4,426919.14039743814,124424.61880531462,8.79320129826657,2026-02-24 14:00:00+00:00,2297.3499437430387,5649.072341990166
25,TS5,426925.0775788966,124399.03857448556,8.573356965564654,2026-02-24 14:00:00+00:00,2273.746084215854,5660.581301472218
