,Name,Northing_RD,Easting_RD,Height,Timestamp,Easting_local,Northing_local
0,27_KW_1,426812.8377045488,124403.03581320781,6.602794940454635,2026-02-24 18:00:00+00:00,2252.534244835208,5550.291568581505
1,29_KW_1,426819.49913470366,124370.27668807625,9.73412345813698,2026-02-24 18:00:00+00:00,2222.095426774486,5564.11232421062
2,30_KW_1,426819.4991267283,124370.27670909202,9.734184045174414,2026-02-24 18:00:00+00:00,2222.0954454736184,5564.112311736169
3,31_P7_0,426875.8647082507,124413.9535928824,10.696233999898908,2026-02-24 18:00:00+00:00,2277.274337833257,5609.279100375175
4,32_P7_0,426875.91248290613,124414.0799705115,7.330511841119162,2026-02-24 18:00:00+00:00,2277.408199950559,5609.297393991346
5,33_P7_0,426881.4475002567,124389.81719376968,10.731130044367157,2026-02-24 18:00:00+00:00,2254.998445282047,5620.119669537283
6,34_P7_0,426881.47534721676,124389.68869136008,7.067320588962269,2026-02-24 18:00:00+00:00,2254.8794285976514,5620.175556488291
7,34a_P7_0,426879.64591126866,124402.99510777705,6.564556012030976,2026-02-24 18:00:00+00:00,2267.439401690736,5615.415868509943
8,35_P9_0,426963.92996401154,124434.14188530763,8.778704033794803,2026-02-24 18:00:00+00:00,2316.651011061931,5690.596589445569
9,36_P9_0,426963.9735264507,124434.26327777965,6.495550236567985,2026-02-24 18:00:00+00:00,2316.77907209056,5690.611892756156
10,37_P9_0,426969.45274556463,124410.03377477534,8.929562624186428,2026-02-24 18:00:00+00:00,2294.389266029314,5701.372340817207
11,38_P9_0,426969.52754083567,124409.92251203008,6.294722116714669,2026-02-24 18:00:00+00:00,2294.2975543534435,5701.470129873649
12,38a_P9_0,426965.6172397918,124421.81078338173,5.612582851858962,2026-02-24 18:00:00+00:00,2305.0098357615334,5694.999544350053
13,39_LHN_0,427023.83863756614,124422.71298151673,10.325362171097233,2026-02-24 18:00:00+00:00,2318.913153758069,5751.5437117677575
14,40_LHN_0,427018.9640109193,124446.57120597243,10.37946825376763,2026-02-24 18:00:00+00:00,2341.0763358242857,5741.455589057153
15,41_LHN_0,427018.99765456654,124446.56660606858,7.8995996276032585,2026-02-24 18:00:00+00:00,2341.0793784891107,5741.489409114871
16,42_LHN_0,427023.8993009127,124422.72864580998,7.790321137612854,2026-02-24 18:00:00+00:00,2318.9419913371557,5751.599333757386
24,TS4,426919.14072163193,124424.61879238713,8.78680633932804,2026-02-24 18:00:00+00:00,2297.350003664505,5649.072660860288
25,TS5,426925.07802731515,124399.03857477871,8.570124357806437,2026-02-24 18:00:00+00:00,2273.7461848116945,5660.581738461643
