,Id,Timestamp,Easting,Northing,Height,EastingDiff,NorthingDiff,HeightDiff,Type,LongitudinalDisplacement,TransverseDisplacement,HeightDisplacement,Name
70534,139,2026-02-27 18:00:20.260000+00:00,123928.08665931712,426940.43257300975,7.131714988207059,-0.0002106065658153966,0.0014689971576444805,-0.0048868425321968445,0,0.0006837596700896333,0.001317110659090964,-0.0048868425321968445,905_GSL_1
70535,138,2026-02-27 18:00:21.710000+00:00,123928.08504205961,426940.43028163165,7.119093466003473,-0.0015768190642120317,-0.0014395203907042742,0.0011574024055454046,0,-0.00017298345679250425,-0.0021280634483473487,0.0011574024055454046,905_GSL_1
70536,134,2026-02-27 18:00:21.810000+00:00,123855.61517137269,426533.0716237351,6.049335896049337,0.0007092312735039741,-0.002674326882697642,0.003492977151556609,0,-0.0012282793350158383,-0.002479185985360599,0.003492977151556609,904_GSL_1
70537,130,2026-02-27 18:00:22.330000+00:00,124898.93886389554,426720.7665977349,4.1262613662869025,0.0004908982809865847,-0.003078963898587972,0.03619863381670818,0,0.0016408513604732142,0.00265115194281973,0.03619863381670818,901_GSL_1
70538,133,2026-02-27 18:00:29.440000+00:00,124806.23206864495,426258.5155507458,4.5887913364478985,0.010172551425057463,0.00406693248078227,0.0006342322633328124,0,0.0018323638440963198,-0.010801073328217387,0.0006342322633328124,903_GSL_1
70539,143,2026-02-27 18:00:36.600000+00:00,124266.91979906967,427056.3148031204,7.103873165415278,0.00023164157755672932,0.0005762443761341274,-0.0016685728074996575,0,0.00044545353702736784,0.0004327661583684512,-0.0016685728074996575,906_GSL_1
70540,125,2026-02-27 18:00:38.090000+00:00,124339.66039614298,426609.58941167005,6.666192174508306,0.002530579353333451,-0.0018221763893961906,-0.007323763620807888,0,-0.0014356832293975382,0.0027682074204107504,-0.007323763620807888,17_P5_1
70541,137,2026-02-27 18:00:41.960000+00:00,123928.08435184804,426940.42633646546,7.133605629749145,-0.0050474138406571,-0.00749210559297353,0.010741938783614735,0,-0.003116625360135463,-0.008479073007097097,0.010741938783614735,905_GSL_1
70542,153,2026-02-27 18:00:47.610000+00:00,124370.27367850588,426819.4951294829,9.731684324698541,-0.00016029899416025728,-0.0039936143439263105,0.005603847585552657,0,0.003895309743798432,-0.0008951051867863122,0.005603847585552657,29_KW_1
70543,152,2026-02-27 18:00:53.290000+00:00,124370.27233924573,426819.49714031693,9.727042299966797,-0.0034324161388212815,-0.00202972098486498,-0.0018786512610819983,0,-0.0011852314843651566,-0.0038074235586432496,-0.0018786512610819983,29_KW_1
70544,146,2026-02-27 18:00:53.390000+00:00,124350.923652134,426607.51023276406,11.371426419398897,-0.0026144409348489717,-0.0016326327458955348,-0.007895093825185384,0,-0.00214798401208276,-0.0022106460070805563,-0.007895093825185384,13_P5_1
70545,132,2026-02-27 18:00:57.800000+00:00,124806.21932169407,426258.5024343518,4.625855476360907,0.005187406291952357,-0.0027073986711911857,0.043223302150585674,0,0.0049390201326241666,-0.0031377175991615085,0.043223302150585674,903_GSL_1
70546,141,2026-02-27 18:01:01.190000+00:00,124266.92083085854,427056.3128020057,7.094597076497918,0.0022021070908522233,-0.0017162973526865244,0.010462376234819715,0,-0.0017830425007716846,0.0021484207415825864,0.010462376234819715,906_GSL_1
70547,148,2026-02-27 18:01:10.390000+00:00,124351.03791382912,426607.3965901059,8.008366808192834,-0.003204585547791794,-0.0018657888285815716,-0.007089607019548083,0,-0.002502708458238262,-0.002736235892432976,-0.007089607019548083,14_P5_1
70548,150,2026-02-27 18:01:10.400000+00:00,124401.10512180277,426812.31736313296,9.18051930826438,-1.9315700748265954,-0.5176806193776429,2.566697745592819,0,-1.6106708707775175,-1.1851985165674281,2.566697745592819,27_KW_1
70549,122,2026-02-27 18:01:17.160000+00:00,124329.15058463662,426611.3880685259,8.082542901688782,0.00103373356978409,-0.003970382967963815,-0.0011209367536153536,0,-0.0035783201696265843,0.0020070303359040888,-0.0011209367536153536,16_P5_1
70550,129,2026-02-27 18:01:28.070000+00:00,124898.93852383377,426720.7716732018,4.089449302455664,-0.0011478650121716782,-0.000829468306619674,-0.00223544278994936,0,-0.0010416418597426348,0.0009594758954170246,-0.00223544278994936,901_GSL_1
70551,140,2026-02-27 18:01:28.340000+00:00,123928.08730256732,426940.4288151124,7.140039257244254,-0.00022116514446679503,-0.005623564531560987,0.004465551041910487,0,3.772792830253422e-05,-0.005627785413924714,0.004465551041910487,905_GSL_1
70552,128,2026-02-27 18:01:31.530000+00:00,124898.93514402206,426720.77726344037,4.081884133367929,-0.005157377439900301,0.007999405555892736,0.0004922023642492945,0,-0.0011926532136051354,-0.009442807295360713,0.0004922023642492945,901_GSL_1
70553,120,2026-02-27 18:01:32.470000+00:00,124329.26080254283,426611.32704025763,11.356002721542502,0.0005507076712092385,-0.004134832473937422,-0.002028445104370391,0,-0.0038587815678902035,0.00158427375726766,-0.002028445104370391,15_P5_1
70554,154,2026-02-27 18:01:32.670000+00:00,124285.66274524492,426445.5601579673,7.919710628254299,-5.4831543820910156e-05,-0.00308513012714684,0.004510983286796666,11,-0.0030509708069211537,-0.0004610981836244279,0.004510983286796666,TS1-1
70555,149,2026-02-27 18:01:45.600000+00:00,124351.04067607436,426607.3959718434,8.011487546109064,-0.0006356177036650479,-0.000760622089728713,-0.0007382978587333611,0,0.0008511329791068682,0.0005080634610679759,-0.0007382978587333611,14_P5_1
