,Name,Northing_RD,Easting_RD,Height,Timestamp,Easting_local,Northing_local
0,00a_LHZ_0,426258.48196298844,124272.34761365216,9.0702275999033,2026-02-27 22:00:00+00:00,2001.1498557499008,5039.218596660448
1,00b_LHZ_0,426263.93804991274,124248.38943173636,9.070767322808381,2026-02-27 22:00:00+00:00,1979.01932051131,5049.895804876542
2,00c_LHZ_0,426258.50536311883,124272.34958265326,6.497182909245797,2026-02-27 22:00:00+00:00,2001.1570094051262,5039.240963338443
3,00d_LHZ_0,426263.99482167175,124248.39542728585,6.8111216831257755,2026-02-27 22:00:00+00:00,1979.0378638274765,5049.9497967709285
4,01_P1_0,426301.79607758747,124282.31396628782,9.292921690140348,2026-02-27 22:00:00+00:00,2020.5529076079922,5079.205623143394
5,02_P1_0,426301.79217712046,124282.39509239068,6.897848340095474,2026-02-27 22:00:00+00:00,2020.6311053382021,5079.183673810881
6,03_P1_0,426307.35381176893,124258.06248641256,9.306668853788048,2026-02-27 22:00:00+00:00,1998.1592452267334,5090.047512763129
7,04_P1_0,426307.39311737224,124257.98845311256,6.839632613215613,2026-02-27 22:00:00+00:00,1998.095880599433,5090.102383374271
8,05_P2_0,426345.8816817599,124292.40618944843,10.210024235663965,2026-02-27 22:00:00+00:00,2040.2512205687383,5119.91643165996
9,06_P2_0,426345.928537405,124292.48482365855,7.5813946011517395,2026-02-27 22:00:00+00:00,2040.338343571076,5119.944509639601
10,07_P2_0,426351.5569189449,124268.22535736748,10.214622641077414,2026-02-27 22:00:00+00:00,2017.952700800357,5130.857042857326
11,08_P2_0,426351.5499408254,124268.11074815069,7.1934785341721375,2026-02-27 22:00:00+00:00,2017.8394349517807,5130.875879371635
12,09_P3_0,426390.13337067876,124302.53829773772,11.08222393759399,2026-02-27 22:00:00+00:00,2060.0255606611163,5160.780193900702
13,10_P3_0,426390.07640989573,124302.66106302476,7.973574971522386,2026-02-27 22:00:00+00:00,2060.1324729193343,5160.697214291468
14,11_P3_0,426395.63889732485,124278.31562274742,11.102020874663435,2026-02-27 22:00:00+00:00,2037.6482945124983,5171.564755414741
15,12_P3_0,426395.7917814225,124278.26972820649,7.948622345351463,2026-02-27 22:00:00+00:00,2037.6377627976565,5171.7240317129945
16,13_P5_1,426607.5099003768,124350.925337055,11.372309704049359,2026-02-27 22:00:00+00:00,2155.8129979171654,5361.824040116815
17,14_P5_1,426607.39643081557,124351.03954452572,8.010253951675365,2026-02-27 22:00:00+00:00,2155.898928351933,5361.68789810247
18,15_P5_1,426611.32921719394,124329.25968045673,11.355133555286631,2026-02-27 22:00:00+00:00,2135.5507508007736,5370.393123998903
19,16_P5_1,426611.39035481,124329.15097362199,8.080842058415175,2026-02-27 22:00:00+00:00,2135.458475081432,5370.477029753389
20,17_P5_1,426609.58944900736,124339.65847812362,6.670698239530649,2026-02-27 22:00:00+00:00,2145.296846686974,5366.371258606216
21,18_P6_1,426780.88567165076,124390.5240474274,10.98626076030277,2026-02-27 22:00:00+00:00,2233.1919537269714,5521.948095541937
22,19_P6_1,426780.8796336314,124390.61084650156,7.443563339815448,2026-02-27 22:00:00+00:00,2233.275202502345,5521.922793795936
23,20_P6_1,426785.69628710346,124369.48794482021,11.40537463395044,2026-02-27 22:00:00+00:00,2213.765057886703,5531.342527506959
24,21_P6_1,426785.7263303767,124369.34609534085,7.2287825090581475,2026-02-27 22:00:00+00:00,2213.6335236756095,5531.403540820045
25,22_P6_1,426775.11195463594,124372.25962792152,6.1648883994949815,2026-02-27 22:00:00+00:00,2214.09881368094,5520.40639802405
26,23_KW_0,426811.626931999,124396.29858888508,9.990204492566768,2026-02-27 22:00:00+00:00,2245.6969042812225,5550.618579117912
27,24_KW_0,426811.63153807644,124396.28942466622,7.646370539984319,2026-02-27 22:00:00+00:00,2245.6890026645015,5550.625118484091
28,25_KW_0,426815.89775987074,124377.68629328502,10.004592555513632,2026-02-27 22:00:00+00:00,2228.5116436732596,5558.944702828894
29,26_KW_0,426815.9035453609,124377.67919843415,7.616477412912131,2026-02-27 22:00:00+00:00,2228.506022815593,5558.951928807321
30,27_KW_1,426812.49153198185,124401.74771813006,8.317780112017735,2026-02-27 22:00:00+00:00,2251.201353923098,5550.242312192805
31,28_KW_1,426812.31810161873,124401.10380905282,9.180979184294282,2026-02-27 22:00:00+00:00,2250.534966450091,5550.217317664728
32,29_KW_1,426819.49639150355,124370.27424009082,9.731122295111017,2026-02-27 22:00:00+00:00,2222.0924271773097,5564.110198135294
33,30_KW_1,426819.49565526174,124370.27480943632,9.73512067315154,2026-02-27 22:00:00+00:00,2222.0928173993343,5564.109353189689
34,31_P7_0,426875.8660915897,124413.95282023019,10.68525415378674,2026-02-27 22:00:00+00:00,2277.2738942106334,5609.280621498837
35,32_P7_0,426875.9137902186,124414.07913105062,7.319431414448629,2026-02-27 22:00:00+00:00,2277.407674205338,5609.298855960021
36,33_P7_0,426881.4442821152,124389.81569941214,10.732813814743869,2026-02-27 22:00:00+00:00,2254.9962689032986,5620.116867232034
37,34_P7_0,426881.4719752553,124389.68707302054,7.069193785385131,2026-02-27 22:00:00+00:00,2254.877096969633,5620.172631995546
38,34a_P7_0,426879.644785141,124402.99396036997,6.55993914304117,2026-02-27 22:00:00+00:00,2267.438031448566,5615.415027592038
39,35_P9_0,426963.93131226144,124434.14097527272,8.767990803635515,2026-02-27 22:00:00+00:00,2316.6504256887356,5690.598107101516
40,36_P9_0,426963.9748015851,124434.2623193352,6.4847768523003575,2026-02-27 22:00:00+00:00,2316.7784231788332,5690.613349978528
41,37_P9_0,426969.44964287773,124410.03237258719,8.931556659725764,2026-02-27 22:00:00+00:00,2294.387205311162,5701.369630422719
42,38_P9_0,426969.5243793733,124409.92110993627,6.296554783549176,2026-02-27 22:00:00+00:00,2294.2954805793115,5701.467362172032
43,38a_P9_0,426965.61608479865,124421.8095168332,5.608370145887393,2026-02-27 22:00:00+00:00,2305.008342939976,5694.998701949821
44,39_LHN_0,427023.83520227077,124422.71195557513,10.32717920350458,2026-02-27 22:00:00+00:00,2318.911385348164,5751.540593028135
45,40_LHN_0,427018.96536181826,124446.56993917233,10.36786941435865,2026-02-27 22:00:00+00:00,2341.075403319409,5741.457189102491
46,41_LHN_0,427018.99897633,124446.56485861314,7.888135324323169,2026-02-27 22:00:00+00:00,2341.077970991834,5741.491088284458
47,42_LHN_0,427023.8957910499,124422.7276772884,7.791784055950285,2026-02-27 22:00:00+00:00,2318.940262211618,5751.596129495241
55,TS1-1,426445.5638103951,124285.66399618586,7.909525454619032,2026-02-27 22:00:00+00:00,2055.9785296745836,5218.580689056036
56,TS2,426440.7920237979,124314.90274950495,7.064113540846647,2026-02-27 22:00:00+00:00,2083.4088956150913,5207.389189274804
57,TS3,426782.74041560024,124378.96998514449,7.773823949634806,2026-02-27 22:00:00+00:00,2222.3455890243417,5526.340452892285
58,TS4,426919.13981112785,124424.61820735439,8.795185494408168,2026-02-27 22:00:00+00:00,2297.3492297797884,5649.071904300021
59,TS5,426925.0747541139,124399.03700830835,8.571948654110761,2026-02-27 22:00:00+00:00,2273.7439258308423,5660.57889862341
