,Name,Northing_RD,Easting_RD,Height,Timestamp,Easting_local,Northing_local
0,29_KW_1,426819.4973766332,124370.27841137939,9.735070831522707,2026-02-17 22:00:00+00:00,2222.096713130726,5564.110225193476
1,31_P7_0,426875.8647360373,124413.9529655569,10.707840961465937,2026-02-17 22:00:00+00:00,2277.2737326208608,5609.279267788836
2,32_P7_0,426875.9124178017,124414.07948032909,7.34253842676149,2026-02-17 22:00:00+00:00,2277.4077076263407,5609.297440189323
3,33_P7_0,426881.44637303264,124389.81793789094,10.732275929115884,2026-02-17 22:00:00+00:00,2254.998918389011,5620.118404420547
4,34_P7_0,426881.4741481932,124389.68905045562,7.068883569777301,2026-02-17 22:00:00+00:00,2254.8795103746097,5620.174307520857
5,34a_P7_0,426879.64507559646,124402.99498847629,6.570806927875383,2026-02-17 22:00:00+00:00,2267.4390984754145,5615.415080702124
6,35_P9_0,426963.9307885953,124434.14152497896,8.79035517319696,2026-02-17 22:00:00+00:00,2316.6508443218313,5690.597473737862
7,36_P9_0,426963.9742826333,124434.26299563765,6.507211116258843,2026-02-17 22:00:00+00:00,2316.7789662546006,5690.612692890502
8,37_P9_0,426969.45236877556,124410.03453893497,8.930703626592738,2026-02-17 22:00:00+00:00,2294.389926537297,5701.371802635869
9,38_P9_0,426969.5271419973,124409.92312730267,6.296225408580065,2026-02-17 22:00:00+00:00,2294.29806481501,5701.46960350744
10,38a_P9_0,426965.62001221185,124421.81338715146,5.602393130524598,2026-02-17 22:00:00+00:00,2305.0129937316437,5695.001664056298
17,TS4,426919.141756411,124424.61821042046,8.78155274822909,2026-02-17 22:00:00+00:00,2297.349667923197,5649.073799601126
18,TS5,426925.0765432425,124399.04017569014,8.555008833364816,2026-02-17 22:00:00+00:00,2273.7474131704303,5660.579933877517
